y      c      Cl    Cd     cCl     cCd
0.000000 2.914803 0.528639 0.020039 1.541051 0.058785
0.148783 2.914970 0.528618 0.020040 1.541077 0.058789
0.297566 2.915469 0.528554 0.020044 1.541154 0.058803
0.446348 2.916293 0.528450 0.020050 1.541281 0.058825
0.595131 2.917430 0.528304 0.020059 1.541453 0.058856
0.743914 2.918867 0.528118 0.020071 1.541665 0.058894
0.892697 2.920581 0.527893 0.020084 1.541910 0.058940
1.041480 2.922551 0.527631 0.020099 1.542179 0.058993
1.190263 2.924747 0.527334 0.020116 1.542463 0.059052
1.339045 2.927138 0.527003 0.020135 1.542750 0.059116
1.487828 2.929689 0.526640 0.020155 1.543028 0.059183
1.636611 2.932361 0.526248 0.020176 1.543283 0.059254
1.785394 2.935111 0.525830 0.020197 1.543501 0.059326
1.934177 2.937897 0.525389 0.020218 1.543666 0.059399
2.082960 2.940669 0.524926 0.020240 1.543761 0.059472
2.231742 2.943379 0.524445 0.020261 1.543770 0.059542
2.380525 2.945976 0.523950 0.020281 1.543673 0.059608
2.529308 2.948406 0.523443 0.020300 1.543453 0.059670
2.678091 2.950615 0.522928 0.020317 1.543091 0.059726
2.826874 2.952548 0.522407 0.020333 1.542566 0.059773
2.975657 2.954150 0.521885 0.020347 1.541861 0.059812
3.124439 2.955366 0.521365 0.020358 1.540954 0.059840
3.273222 2.956138 0.520849 0.020367 1.539828 0.059857
3.422005 2.956415 0.520341 0.020374 1.538464 0.059861
3.570788 2.956140 0.519845 0.020377 1.536842 0.059850
3.719571 2.955264 0.519362 0.020377 1.534944 0.059824
3.868354 2.953735 0.518896 0.020374 1.532754 0.059782
4.017136 2.951505 0.518451 0.020368 1.530254 0.059723
4.165919 2.948529 0.518027 0.020359 1.527430 0.059645
4.314702 2.944764 0.517628 0.020347 1.524267 0.059549
4.463485 2.940171 0.517257 0.020332 1.520752 0.059433
4.612268 2.934715 0.516914 0.020314 1.516872 0.059298
4.761051 2.928363 0.516602 0.020293 1.512618 0.059142
4.909833 2.921089 0.516323 0.020270 1.507981 0.058966
5.058616 2.912867 0.516077 0.020245 1.502953 0.058769
5.207399 2.903681 0.515867 0.020218 1.497529 0.058551
5.356182 2.893516 0.515692 0.020191 1.491706 0.058314
5.504965 2.882363 0.515554 0.020162 1.485481 0.058056
5.653747 2.870218 0.515453 0.020132 1.478854 0.057778
5.802530 2.857082 0.515390 0.020103 1.471829 0.057481
5.951313 2.842963 0.515363 0.020074 1.464407 0.057166
6.100096 2.827872 0.515374 0.020046 1.456597 0.056833
6.248879 2.811826 0.515421 0.020020 1.448405 0.056482
6.397662 2.794847 0.515504 0.019995 1.439841 0.056115
6.546444 2.776963 0.515622 0.019973 1.430917 0.055732
6.695227 2.758205 0.515775 0.019953 1.421646 0.055335
6.844010 2.738611 0.515960 0.019936 1.412044 0.054924
6.992793 2.718222 0.516178 0.019922 1.402128 0.054500
7.141576 2.697082 0.516425 0.019912 1.391915 0.054064
7.290359 2.675242 0.516702 0.019905 1.381425 0.053617
7.439141 2.652754 0.517006 0.019902 1.370680 0.053159
7.587924 2.629674 0.517336 0.019902 1.359701 0.052690
7.736707 2.606060 0.517689 0.019905 1.348510 0.052212
7.885490 2.581973 0.518065 0.019911 1.337131 0.051724
8.034273 2.557475 0.518460 0.019920 1.325587 0.051227
8.183056 2.532630 0.518873 0.019929 1.313901 0.050720
8.331838 2.507500 0.519302 0.019939 1.302097 0.050204
8.480621 2.482150 0.519745 0.019949 1.290197 0.049677
