AoA     Fx     Fz     My
0.000000 3616.830000 107130.000000 -45964.100000
10.000000 -31918.000000 278877.000000 -55001.200000
12.000000 -33730.000000 290779.000000 -50557.100000
14.000000 -31103.200000 267380.000000 -42236.500000
2.000000 64.084300 143997.000000 -49885.000000
2.630000 -1495.560000 155537.000000 -50971.500000
4.000000 -5612.460000 180402.000000 -53042.000000
6.000000 -13373.900000 216005.000000 -55264.100000
8.000000 -22799.200000 250159.000000 -56403.400000
-6.300000 705.670000 -10790.400000 -29150.200000
