X Z P
0.003028 0.017153 43698.921880
0.002523 0.021415 43840.945310
0.002517 0.016415 43887.070310
0.002523 0.012415 43865.699220
0.003583 0.022918 43554.761720
0.003583 0.012918 43511.148440
0.026636 0.001452 39840.000000
0.025538 -0.005779 39916.855470
0.025538 -0.007779 39937.964840
0.027764 -0.000330 39769.707030
0.027771 -0.000336 39746.351560
0.028880 -0.013080 39676.183590
0.028887 -0.014086 39657.992190
0.030034 -0.013843 39588.121090
0.012120 0.010716 41584.789060
0.011222 0.015728 41727.875000
0.012120 0.007710 41492.582030
0.010317 0.002740 41808.480470
0.010311 0.014740 41866.234380
0.013495 0.015310 41321.960940
0.013754 0.000038 41256.222660
0.014018 0.013768 41186.972660
0.014025 -0.000232 41148.203120
0.015986 0.010895 40973.226560
0.015992 0.011889 40917.066410
0.016732 0.003231 40872.574220
0.006231 0.015176 42780.183590
0.006231 0.023169 42744.128910
0.006988 0.005041 42628.011720
0.006988 0.014041 42570.910160
0.008589 0.014846 42235.187500
0.008589 0.016846 42178.398440
0.009434 0.004787 42043.050780
0.009434 0.000781 42015.183590
0.007770 0.004931 42412.347660
0.007770 0.018931 42372.328120
0.004182 0.028694 43361.890620
0.004188 0.016694 43312.648440
0.004831 0.027496 43203.988280
0.004831 0.013496 43159.582030
0.005512 0.008323 42978.628910
0.005512 0.014323 42918.808590
0.017467 0.003577 40788.460940
0.018016 0.005086 40700.796880
0.018022 0.003086 40655.855470
0.020103 -0.003655 40459.070310
0.020103 -0.006655 40404.859380
0.021566 -0.007809 40299.898440
0.022241 -0.009338 40246.140620
0.022247 0.002655 40221.566410
0.021364 -0.001651 40331.453120
0.023338 -0.010177 40126.300780
0.023344 0.001823 40094.105470
0.024416 -0.009971 40017.132810
0.001653 0.031000 44168.527340
0.001653 0.024993 44141.566410
0.002057 0.024701 44069.433590
0.002057 0.017694 44028.582030
0.001023 0.033635 44351.765620
0.001023 0.028635 44333.929690
0.000783 0.029972 44399.941410
0.000783 0.026972 44414.500000
0.001313 0.031311 44270.445310
0.001313 0.017311 44248.800780
0.000619 0.032322 44451.500000
0.000619 0.038322 44445.441410
0.000506 0.030677 44451.070310
0.000506 0.034684 44446.304690
0.000468 0.029039 44417.214840
0.000468 0.035033 44428.542970
0.000493 0.029395 44377.031250
0.000493 0.040395 44359.328120
0.000581 0.041845 44287.500000
0.000581 0.045845 44262.410160
0.000733 0.036283 44172.761720
0.000733 0.036283 44136.816410
0.000947 0.040721 44027.250000
0.000947 0.045721 43989.738280
0.001212 0.030146 43871.742190
0.001212 0.033146 43831.980470
0.001540 0.050558 43699.421880
0.001540 0.050558 43655.128910
0.001918 0.041958 43517.660160
0.001918 0.049958 43469.015620
0.002347 0.053332 43339.324220
0.002347 0.048339 43281.996090
0.002826 0.042707 43107.429690
0.002826 0.043707 43057.046880
0.003343 0.046031 42927.246090
0.003343 0.051031 42904.031250
0.003349 0.046056 42834.988280
0.003911 0.058362 42695.058590
0.003911 0.045368 42656.871090
0.003923 0.045393 42587.121090
0.004516 0.057679 42476.941410
0.004516 0.050679 42448.363280
0.004529 0.054711 42399.757810
0.005159 0.042966 42341.449220
0.005172 0.050004 42264.355470
