y      Cl    Cd     cCl     cCd
0.000000 -0.070896 0.006944 -0.048458 0.004922
0.118233 -0.056385 0.007505 -0.038824 0.005290
0.236467 -0.043549 0.008034 -0.030244 0.005642
0.354700 -0.032252 0.008529 -0.022641 0.005974
0.472933 -0.022368 0.008988 -0.015940 0.006285
0.591167 -0.013779 0.009409 -0.010071 0.006573
0.709400 -0.006374 0.009793 -0.004971 0.006837
0.827633 -0.000051 0.010137 -0.000577 0.007076
0.945867 0.005284 0.010443 0.003166 0.007290
1.064100 0.009720 0.010710 0.006311 0.007478
1.182333 0.013339 0.010938 0.008908 0.007641
1.300567 0.016217 0.011129 0.011003 0.007779
1.418800 0.018421 0.011284 0.012639 0.007891
1.537033 0.020018 0.011403 0.013855 0.007979
1.655267 0.021065 0.011487 0.014687 0.008043
1.773500 0.021616 0.011540 0.015170 0.008085
1.891733 0.021722 0.011561 0.015335 0.008104
2.009967 0.021425 0.011553 0.015211 0.008103
2.128200 0.020768 0.011517 0.014825 0.008082
2.246433 0.019788 0.011456 0.014202 0.008043
2.364667 0.018518 0.011372 0.013362 0.007987
2.482900 0.016988 0.011266 0.012329 0.007915
2.601133 0.015227 0.011141 0.011120 0.007829
2.719367 0.013259 0.010999 0.009753 0.007730
2.837600 0.011106 0.010841 0.008243 0.007620
2.955833 0.008787 0.010670 0.006607 0.007500
3.074067 0.006321 0.010487 0.004856 0.007371
3.192300 0.003725 0.010295 0.003003 0.007235
3.310533 0.001011 0.010096 0.001059 0.007094
3.428767 -0.001807 0.009891 -0.000965 0.006947
3.547000 -0.004717 0.009681 -0.003059 0.006798
3.665233 -0.007710 0.009469 -0.005216 0.006646
3.783467 -0.010775 0.009256 -0.007426 0.006493
3.901700 -0.013904 0.009044 -0.009683 0.006340
4.019933 -0.017089 0.008833 -0.011978 0.006188
4.138167 -0.020322 0.008624 -0.014306 0.006038
4.256400 -0.023596 0.008420 -0.016659 0.005890
4.374633 -0.026905 0.008220 -0.019032 0.005746
4.492867 -0.030241 0.008026 -0.021418 0.005606
4.611100 -0.033598 0.007838 -0.023812 0.005469
4.729333 -0.036969 0.007656 -0.026207 0.005338
4.847567 -0.040348 0.007482 -0.028599 0.005212
4.965800 -0.043727 0.007315 -0.030980 0.005091
5.084033 -0.047099 0.007155 -0.033347 0.004976
5.202267 -0.050456 0.007002 -0.035691 0.004866
5.320500 -0.053790 0.006857 -0.038008 0.004761
5.438733 -0.057092 0.006719 -0.040292 0.004662
5.556967 -0.060355 0.006588 -0.042535 0.004569
5.675200 -0.063567 0.006464 -0.044732 0.004480
5.793433 -0.066720 0.006345 -0.046876 0.004395
5.911667 -0.069802 0.006231 -0.048960 0.004315
6.029900 -0.072802 0.006123 -0.050976 0.004239
6.148133 -0.075709 0.006018 -0.052918 0.004166
6.266367 -0.078511 0.005916 -0.054779 0.004095
6.384600 -0.081196 0.005817 -0.056549 0.004027
6.502833 -0.083750 0.005720 -0.058223 0.003960
6.621067 -0.086159 0.005624 -0.059791 0.003895
6.739300 -0.088411 0.005528 -0.061245 0.003829
6.857533 -0.090491 0.005431 -0.062578 0.003764
6.975767 -0.092385 0.005333 -0.063782 0.003698
7.094000 -0.094078 0.005233 -0.064847 0.003630
7.212233 -0.095557 0.005131 -0.065765 0.003562
7.330467 -0.096806 0.005026 -0.066529 0.003491
7.448700 -0.097812 0.004919 -0.067131 0.003418
7.566933 -0.098561 0.004808 -0.067561 0.003342
7.685167 -0.099039 0.004693 -0.067813 0.003264
7.803400 -0.099233 0.004577 -0.067880 0.003184
7.921633 -0.099130 0.004457 -0.067753 0.003102
8.039867 -0.098719 0.004337 -0.067428 0.003019
8.158100 -0.097989 0.004215 -0.066896 0.002934
8.276333 -0.096931 0.004095 -0.066154 0.002850
8.394567 -0.095537 0.003977 -0.065195 0.002766
8.512800 -0.093799 0.003864 -0.064016 0.002686
8.631033 -0.091712 0.003758 -0.062614 0.002609
8.749267 -0.089273 0.003663 -0.060987 0.002539
8.867500 -0.086481 0.003580 -0.059132 0.002477
8.985733 -0.083338 0.003516 -0.057051 0.002427
9.103967 -0.079845 0.003473 -0.054745 0.002391
9.222200 -0.076010 0.003457 -0.052215 0.002372
9.340433 -0.071842 0.003473 -0.049467 0.002376
9.458667 -0.067353 0.003529 -0.046506 0.002406
9.576900 -0.062560 0.003630 -0.043339 0.002467
9.695133 -0.057481 0.003785 -0.039977 0.002564
9.813367 -0.052141 0.004003 -0.036431 0.002705
9.931600 -0.046568 0.004292 -0.032715 0.002894
10.049833 -0.040794 0.004662 -0.028845 0.003141
10.168067 -0.034857 0.005126 -0.024839 0.003451
10.286300 -0.028799 0.005694 -0.020720 0.003835
10.404533 -0.022670 0.006380 -0.016510 0.004301
10.522767 -0.016523 0.007199 -0.012238 0.004860
10.641000 -0.010417 0.008165 -0.007934 0.005522
10.759233 -0.004422 0.009294 -0.003631 0.006299
10.877467 0.001391 0.010604 0.000633 0.007204
10.995700 0.006939 0.012115 0.004817 0.008250
11.113933 0.012135 0.013845 0.008878 0.009452
11.232167 0.016881 0.015817 0.012765 0.010824
11.350400 0.021072 0.018053 0.016425 0.012384
11.468633 0.024595 0.020577 0.019801 0.014149
11.586867 0.027327 0.023416 0.022831 0.016138
11.705100 0.029134 0.026597 0.025447 0.018370
