y      Cl    Cd     cCl     cCd
0.000000 0.663120 0.025828 1.592948 0.061976
0.176970 0.663053 0.025823 1.592844 0.061969
0.353939 0.662851 0.025810 1.592532 0.061948
0.530909 0.662516 0.025788 1.592013 0.061912
0.707879 0.662052 0.025758 1.591289 0.061863
0.884848 0.661463 0.025720 1.590364 0.061802
1.061818 0.660755 0.025675 1.589242 0.061728
1.238788 0.659935 0.025624 1.587926 0.061644
1.415758 0.659011 0.025567 1.586422 0.061551
1.592727 0.657992 0.025506 1.584736 0.061451
1.769697 0.656888 0.025442 1.582875 0.061344
1.946667 0.655711 0.025375 1.580847 0.061233
2.123636 0.654472 0.025308 1.578658 0.061120
2.300606 0.653184 0.025241 1.576318 0.061006
2.477576 0.651860 0.025176 1.573836 0.060894
2.654545 0.650516 0.025114 1.571221 0.060785
2.831515 0.649164 0.025057 1.568483 0.060682
3.008485 0.647820 0.025007 1.565631 0.060587
3.185455 0.646500 0.024963 1.562676 0.060502
3.362424 0.645217 0.024929 1.559628 0.060428
3.539394 0.643989 0.024905 1.556497 0.060368
3.716364 0.642830 0.024892 1.553294 0.060322
3.893333 0.641754 0.024892 1.550029 0.060293
4.070303 0.640778 0.024906 1.546712 0.060282
4.247273 0.639914 0.024934 1.543353 0.060289
4.424242 0.639176 0.024978 1.539959 0.060315
4.601212 0.638578 0.025037 1.536542 0.060362
4.778182 0.638130 0.025113 1.533108 0.060428
4.955152 0.637846 0.025206 1.529665 0.060515
5.132121 0.637733 0.025316 1.526221 0.060620
5.309091 0.637802 0.025442 1.522781 0.060744
5.486061 0.638060 0.025584 1.519350 0.060886
5.663030 0.638512 0.025742 1.515932 0.061043
5.840000 0.639164 0.025914 1.512531 0.061213
6.016970 0.640020 0.026100 1.509148 0.061394
6.193939 0.641080 0.026299 1.505785 0.061584
6.370909 0.642344 0.026508 1.502441 0.061779
6.547879 0.643811 0.026726 1.499113 0.061975
6.724848 0.645478 0.026951 1.495799 0.062168
6.901818 0.647339 0.027181 1.492494 0.062354
7.078788 0.649386 0.027412 1.489192 0.062528
7.255758 0.651611 0.027643 1.485885 0.062686
7.432727 0.654003 0.027870 1.482563 0.062822
7.609697 0.656549 0.028090 1.479216 0.062930
7.786667 0.659235 0.028301 1.475832 0.063004
7.963636 0.662045 0.028498 1.472395 0.063039
8.140606 0.664961 0.028678 1.468890 0.063029
8.317576 0.667963 0.028837 1.465300 0.062967
8.494545 0.671031 0.028972 1.461604 0.062847
8.671515 0.674141 0.029080 1.457783 0.062664
8.848485 0.677271 0.029156 1.453814 0.062411
9.025455 0.680394 0.029197 1.449672 0.062083
9.202424 0.683484 0.029199 1.445332 0.061674
9.379394 0.686515 0.029160 1.440767 0.061180
9.556364 0.689457 0.029075 1.435947 0.060595
9.733333 0.692283 0.028943 1.430842 0.059915
9.910303 0.694962 0.028760 1.425421 0.059138
10.087273 0.697464 0.028524 1.419651 0.058259
10.264242 0.699760 0.028234 1.413498 0.057278
10.441212 0.701819 0.027887 1.406926 0.056192
10.618182 0.703610 0.027482 1.399898 0.055001
10.795152 0.705104 0.027020 1.392377 0.053707
10.972121 0.706270 0.026500 1.384326 0.052311
11.149091 0.707080 0.025922 1.375704 0.050815
11.326061 0.707505 0.025289 1.366471 0.049225
11.503030 0.707516 0.024601 1.356588 0.047544
11.680000 0.707087 0.023862 1.346013 0.045780
11.856970 0.706190 0.023075 1.334705 0.043941
12.033939 0.704802 0.022244 1.322621 0.042036
12.210909 0.702896 0.021373 1.309721 0.040076
12.387879 0.700450 0.020469 1.295961 0.038073
12.564848 0.697440 0.019538 1.281300 0.036039
12.741818 0.693845 0.018587 1.265695 0.033989
12.918788 0.689643 0.017624 1.249104 0.031939
13.095758 0.684813 0.016658 1.231485 0.029906
13.272727 0.679333 0.015697 1.212797 0.027908
13.449697 0.673182 0.014751 1.192998 0.025961
13.626667 0.666338 0.013831 1.172047 0.024086
13.803636 0.658778 0.012947 1.149902 0.022302
13.980606 0.650476 0.012110 1.126522 0.020627
14.157576 0.641404 0.011330 1.101867 0.019081
14.334545 0.631532 0.010619 1.075896 0.017681
14.511515 0.620823 0.009986 1.048568 0.016446
14.688485 0.609237 0.009441 1.019842 0.015389
14.865455 0.596727 0.008994 0.989676 0.014526
15.042424 0.583236 0.008653 0.958027 0.013866
15.219394 0.568701 0.008423 0.924854 0.013416
15.396364 0.553046 0.008311 0.890111 0.013180
15.573333 0.536181 0.008317 0.853752 0.013155
15.750303 0.518004 0.008443 0.815730 0.013334
15.927273 0.498392 0.008684 0.775992 0.013701
16.104242 0.477206 0.009034 0.734487 0.014234
16.281212 0.454281 0.009481 0.691156 0.014900
16.458182 0.429430 0.010009 0.645936 0.015657
16.635152 0.402435 0.010597 0.598762 0.016449
16.812121 0.373046 0.011214 0.549559 0.017209
16.989091 0.340979 0.011827 0.498247 0.017852
17.166061 0.305906 0.012390 0.444737 0.018279
17.343030 0.267459 0.012850 0.388931 0.018369
17.520000 0.225216 0.013144 0.330721 0.017981
