y      Cl    Cd     cCl     cCd
0.000000 0.652120 0.037762 1.591265 0.092467
0.176970 0.666878 0.039967 1.616814 0.097057
0.353939 0.678930 0.041774 1.638143 0.100847
0.530909 0.688586 0.043227 1.655700 0.103927
0.707879 0.696130 0.044369 1.669899 0.106381
0.884848 0.701826 0.045240 1.681126 0.108287
1.061818 0.705918 0.045876 1.689735 0.109717
1.238788 0.708630 0.046310 1.696051 0.110737
1.415758 0.710168 0.046573 1.700374 0.111408
1.592727 0.710720 0.046694 1.702979 0.111783
1.769697 0.710458 0.046697 1.704113 0.111915
1.946667 0.709538 0.046606 1.704004 0.111847
2.123636 0.708101 0.046442 1.702855 0.111622
2.300606 0.706273 0.046224 1.700850 0.111276
2.477576 0.704168 0.045968 1.698154 0.110841
2.654545 0.701885 0.045691 1.694912 0.110347
2.831515 0.699514 0.045405 1.691252 0.109818
3.008485 0.697133 0.045121 1.687287 0.109277
3.185455 0.694807 0.044849 1.683113 0.108742
3.362424 0.692595 0.044598 1.678813 0.108230
3.539394 0.690544 0.044375 1.674457 0.107752
3.716364 0.688694 0.044185 1.670102 0.107320
3.893333 0.687077 0.044032 1.665794 0.106941
4.070303 0.685718 0.043921 1.661569 0.106622
4.247273 0.684633 0.043853 1.657453 0.106366
4.424242 0.683836 0.043829 1.653463 0.106175
4.601212 0.683331 0.043851 1.649608 0.106049
4.778182 0.683121 0.043917 1.645891 0.105988
4.955152 0.683201 0.044026 1.642307 0.105988
5.132121 0.683565 0.044177 1.638847 0.106046
5.309091 0.684201 0.044367 1.635495 0.106157
5.486061 0.685095 0.044594 1.632232 0.106315
5.663030 0.686231 0.044854 1.629035 0.106513
5.840000 0.687588 0.045143 1.625878 0.106744
6.016970 0.689146 0.045458 1.622731 0.107001
6.193939 0.690883 0.045794 1.619564 0.107274
6.370909 0.692773 0.046146 1.616345 0.107556
6.547879 0.694792 0.046511 1.613038 0.107836
6.724848 0.696914 0.046883 1.609612 0.108108
6.901818 0.699114 0.047257 1.606029 0.108361
7.078788 0.701365 0.047629 1.602257 0.108586
7.255758 0.703641 0.047993 1.598262 0.108776
7.432727 0.705917 0.048346 1.594009 0.108921
7.609697 0.708168 0.048683 1.589468 0.109013
7.786667 0.710370 0.048999 1.584608 0.109045
7.963636 0.712499 0.049289 1.579398 0.109009
8.140606 0.714532 0.049551 1.573813 0.108898
8.317576 0.716450 0.049779 1.567827 0.108707
8.494545 0.718231 0.049971 1.561417 0.108429
8.671515 0.719856 0.050124 1.554561 0.108059
8.848485 0.721310 0.050234 1.547241 0.107594
9.025455 0.722575 0.050299 1.539441 0.107030
9.202424 0.723638 0.050316 1.531146 0.106363
9.379394 0.724485 0.050284 1.522346 0.105592
9.556364 0.725104 0.050202 1.513031 0.104716
9.733333 0.725486 0.050067 1.503193 0.103734
9.910303 0.725621 0.049880 1.492828 0.102646
10.087273 0.725501 0.049640 1.481934 0.101454
10.264242 0.725120 0.049348 1.470509 0.100159
10.441212 0.724471 0.049002 1.458554 0.098764
10.618182 0.723550 0.048605 1.446071 0.097272
10.795152 0.722352 0.048158 1.433064 0.095689
10.972121 0.720873 0.047661 1.419537 0.094018
11.149091 0.719110 0.047118 1.405496 0.092265
11.326061 0.717058 0.046530 1.390945 0.090437
11.503030 0.714714 0.045900 1.375890 0.088540
11.680000 0.712073 0.045230 1.360335 0.086582
11.856970 0.709130 0.044525 1.344285 0.084570
12.033939 0.705878 0.043786 1.327742 0.082514
12.210909 0.702310 0.043019 1.310708 0.080421
12.387879 0.698415 0.042227 1.293179 0.078300
12.564848 0.694183 0.041414 1.275152 0.076161
12.741818 0.689598 0.040584 1.256619 0.074014
12.918788 0.684643 0.039741 1.237567 0.071867
13.095758 0.679298 0.038890 1.217980 0.069730
13.272727 0.673537 0.038036 1.197835 0.067612
13.449697 0.667331 0.037182 1.177105 0.065523
13.626667 0.660648 0.036332 1.155754 0.063470
13.803636 0.653447 0.035492 1.133739 0.061462
13.980606 0.645684 0.034664 1.111009 0.059507
14.157576 0.637306 0.033853 1.087504 0.057612
14.334545 0.628257 0.033063 1.063154 0.055782
14.511515 0.618468 0.032295 1.037877 0.054023
14.688485 0.607867 0.031553 1.011581 0.052339
14.865455 0.596370 0.030840 0.984159 0.050732
15.042424 0.583884 0.030157 0.955493 0.049204
15.219394 0.570306 0.029504 0.925447 0.047755
15.396364 0.555523 0.028883 0.893872 0.046382
15.573333 0.539408 0.028293 0.860602 0.045083
15.750303 0.521826 0.027734 0.825451 0.043850
15.927273 0.502624 0.027202 0.788215 0.042677
16.104242 0.481638 0.026694 0.748672 0.041551
16.281212 0.458688 0.026208 0.706576 0.040461
16.458182 0.433580 0.025737 0.661659 0.039389
16.635152 0.406103 0.025275 0.613629 0.038318
16.812121 0.376028 0.024814 0.562171 0.037224
16.989091 0.343108 0.024344 0.506941 0.036083
17.166061 0.307079 0.023855 0.447569 0.034865
17.343030 0.267655 0.023335 0.383655 0.033536
17.520000 0.224529 0.022768 0.314770 0.032059
