X Z Cp
0.000556 0.024713 1.153600
0.000213 0.025969 1.071500
0.000294 0.030234 0.990430
0.000732 0.021454 0.903150
0.001487 0.033610 0.793630
0.002520 0.027708 0.673840
0.003807 0.019767 0.560050
0.005338 0.041812 0.454100
0.007118 0.034865 0.359230
0.009161 0.030948 0.272840
0.011484 0.036075 0.194790
0.014106 0.036259 0.123040
0.017045 0.048502 0.058055
0.020307 0.034805 -0.001816
0.023895 0.052161 -0.057426
0.027794 0.051559 -0.109720
0.031985 0.054981 -0.158260
0.036436 0.061411 -0.204290
0.041115 0.047831 -0.247970
0.045986 0.063227 -0.289490
0.051019 0.058586 -0.328780
0.056186 0.068899 -0.366150
0.061464 0.058161 -0.401810
0.066835 0.073365 -0.435400
0.072284 0.060512 -0.467350
0.077801 0.070599 -0.497830
0.083375 0.082625 -0.526400
0.089001 0.083591 -0.553340
0.094672 0.075498 -0.578870
0.100380 0.083347 -0.602770
0.106130 0.080139 -0.625240
0.111920 0.082876 -0.646580
0.117730 0.087558 -0.666560
0.123580 0.097186 -0.684900
0.129450 0.079763 -0.702100
0.135350 0.087290 -0.718480
0.141280 0.085767 -0.733790
0.147220 0.091197 -0.748180
0.153190 0.091581 -0.761590
0.159180 0.101918 -0.773780
0.165190 0.098212 -0.785290
0.171210 0.102464 -0.796430
0.177260 0.100674 -0.806900
0.183320 0.102843 -0.816510
0.189390 0.095973 -0.825410
0.195480 0.107064 -0.833990
0.201590 0.101119 -0.842230
0.207700 0.109137 -0.849930
0.213830 0.116119 -0.857400
0.219970 0.111068 -0.864710
0.226120 0.109982 -0.871550
0.232290 0.101863 -0.878070
0.238460 0.116713 -0.884570
0.244640 0.110530 -0.890960
0.250830 0.106320 -0.897130
0.257020 0.106070 -0.903250
0.263230 0.121800 -0.909390
0.269440 0.119500 -0.915510
0.275660 0.120170 -0.921600
0.281880 0.106810 -0.927690
0.288110 0.112420 -0.933840
0.294340 0.113010 -0.940150
0.300580 0.110570 -0.946510
0.306820 0.127100 -0.952810
0.313060 0.111610 -0.959200
0.319310 0.113080 -0.965830
0.325560 0.115540 -0.972620
0.331820 0.115960 -0.979450
0.338070 0.120360 -0.986320
0.344330 0.120730 -0.993250
0.350590 0.112070 -1.000300
0.356850 0.120390 -1.007400
0.363110 0.117680 -1.014600
0.369370 0.121940 -1.021800
0.375620 0.127180 -1.029100
0.381880 0.122390 -1.036500
0.388140 0.114570 -1.043800
0.394400 0.115720 -1.051100
0.400650 0.111840 -1.058400
0.406910 0.121940 -1.065600
0.413160 0.114000 -1.072800
0.419410 0.123030 -1.079700
0.425660 0.119040 -1.086400
0.431900 0.120010 -1.093000
0.438150 0.117950 -1.099300
0.444390 0.118860 -1.105400
0.450620 0.117740 -1.111200
0.456850 0.129580 -1.116700
0.463080 0.124390 -1.121900
0.469310 0.126170 -1.126700
0.475530 0.127920 -1.130900
0.481740 0.127620 -1.134600
0.487950 0.118300 -1.137800
0.494160 0.109940 -1.140500
0.500360 0.109540 -1.142600
0.506560 0.127100 -1.144000
0.512750 0.127630 -1.144700
0.518940 0.114130 -1.144900
0.525120 0.122580 -1.144400
