y chord Clstrut Cdstrut
0.041700 0.700700 -0.064400 0.019200
0.372800 0.700000 -0.058100 0.019200
1.020400 0.698700 -0.042400 0.019400
1.956300 0.696800 -0.017000 0.019700
2.957400 0.694700 0.001600 0.020000
3.930800 0.692700 0.010200 0.020100
4.999700 0.690600 0.017600 0.020200
6.117500 0.688300 0.018700 0.020100
7.235100 0.686000 0.014900 0.019900
8.303900 0.683800 0.015000 0.019600
9.277100 0.681900 0.023500 0.019200
10.112200 0.680200 0.033300 0.018500
10.858300 0.678600 0.051000 0.017600
11.442900 0.677500 0.042400 0.017800
11.629200 0.677100 0.007400 0.020000
