y chord Clwing Cdwing
0.026500 2.110000 0.663300 0.041700
0.237700 2.110000 0.663200 0.041700
0.654900 2.110000 0.662600 0.041800
1.267900 2.110000 0.661300 0.042000
2.061400 2.110000 0.658600 0.042100
2.959700 2.110000 0.652400 0.042100
3.927700 2.110000 0.642200 0.041700
4.993900 2.110000 0.629600 0.041500
6.352900 2.045300 0.632300 0.041400
7.988100 1.934418 0.652600 0.041700
9.643600 1.821936 0.671500 0.042700
10.949700 1.737855 0.688300 0.044600
11.886400 1.683673 0.714400 0.046500
12.997200 1.613891 0.703700 0.046900
14.226300 1.533409 0.655500 0.045000
15.300500 1.465827 0.590800 0.044000
16.193400 1.413245 0.510100 0.043700
16.883100 1.377664 0.408400 0.043700
17.352500 1.360382 0.276000 0.042600
17.590200 1.359500 0.102200 0.038600
